Title,Image URL,Lot Number,Sale Status,Auction Link
Aberfeldy 16 Year Old Madeira Finish 1L ,https://d3suvtcq00dftb.cloudfront.net/images/625bb3f66f26590815dcbbb3f315828a-med.jpg,143-00994,Sold for £70,auctions/188-the-143rd-auction/648114-aberfeldy-16-year-old-madeira-finish-1l-/
Aberfeldy 16 Year Old Ramble Single Cask,https://d3suvtcq00dftb.cloudfront.net/images/2e0bd4e4545a0cf77f0df56a626b4f11-med.jpg,143-00354,Sold for £270,auctions/188-the-143rd-auction/647450-aberfeldy-16-year-old-ramble-single-cask/
Aberfeldy 18 Year Old Red Wine Finish #2920,https://d3suvtcq00dftb.cloudfront.net/images/5d0e676d5d9c25bbaecb77b83cfb4807-med.jpg,143-01792,Sold for £75,auctions/188-the-143rd-auction/648995-aberfeldy-18-year-old-red-wine-finish-2920/
Aberfeldy 1994 16 Year Old Old Malt Cask,https://d3suvtcq00dftb.cloudfront.net/images/b9c8afdd4cc2c56b3eaa8219e369f4e2-med.jpg,143-06336,Sold for £110,auctions/188-the-143rd-auction/653752-aberfeldy-1994-16-year-old-old-malt-cask/
Aberfeldy 1999 Hand Filled Cask #20665,https://d3suvtcq00dftb.cloudfront.net/images/0e5ee805e8930eab511fdff8550be975-med.jpg,143-00962,Sold for £320,auctions/188-the-143rd-auction/648082-aberfeldy-1999-hand-filled-cask-20665/
Aberfeldy 1999 Hand Filled Cask #20665,https://d3suvtcq00dftb.cloudfront.net/images/ec4c368252be39df435d46945d61b2b9-med.jpg,143-00963,Sold for £320,auctions/188-the-143rd-auction/648083-aberfeldy-1999-hand-filled-cask-20665/
Aberfeldy 20 Year Old Exceptional Cask Series,https://d3suvtcq00dftb.cloudfront.net/images/22449d596914bd299563b4b340de3e22-med.jpg,143-03770,Sold for £120,auctions/188-the-143rd-auction/651001-aberfeldy-20-year-old-exceptional-cask-series/
Aberfeldy 2002 Hand Filled Single Cask #20024,https://d3suvtcq00dftb.cloudfront.net/images/439b32ce6f489b5d6589f1e363e7cbe4-med.jpg,143-02743,Sold for £120,auctions/188-the-143rd-auction/649950-aberfeldy-2002-hand-filled-single-cask-20024/
Aberfeldy 21 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/d6667495db23484831fb5f98248318d7-med.jpg,143-01790,Sold for £90,auctions/188-the-143rd-auction/648993-aberfeldy-21-year-old/
Aberfeldy 21 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/a2bb753dcb4c3de5c1c0c7a8469f6833-med.jpg,143-03293,Sold for £90,auctions/188-the-143rd-auction/650504-aberfeldy-21-year-old/
Aberfeldy 21 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/5aa942e751dc60e700257cc090fbfdbd-med.jpg,143-01791,Sold for £95,auctions/188-the-143rd-auction/648994-aberfeldy-21-year-old/
Aberfeldy 21 Year Old 75cl,https://d3suvtcq00dftb.cloudfront.net/images/54ae14785d4a560cff7a983568345893-med.jpg,143-05945,Sold for £95,auctions/188-the-143rd-auction/653350-aberfeldy-21-year-old-75cl/
Aberfeldy 25 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/506fc3a762d6770b30d63d9d4c388845-med.jpg,143-05565,Sold for £200,auctions/188-the-143rd-auction/652943-aberfeldy-25-year-old/
Aberfeldy 25 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/2d953d2a2cea470e9308d0b38a3d6c18-med.jpg,143-01780,Sold for £270,auctions/188-the-143rd-auction/648983-aberfeldy-25-year-old/
Aberfeldy 28 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/fbc62e8b74fcee2ae9d7e945bf8408ce-med.jpg,143-08112,Sold for £210,auctions/188-the-143rd-auction/655629-aberfeldy-28-year-old/
Aberfeldy 28 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/6bcf59d54215cc88854118fae51b2691-med.jpg,143-01789,Sold for £220,auctions/188-the-143rd-auction/648992-aberfeldy-28-year-old/
Aberfeldy 28 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/7fca79b36ea8e8becf497b1aa5673813-med.jpg,143-06256,Sold for £220,auctions/188-the-143rd-auction/653672-aberfeldy-28-year-old/
Aberlour 10 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/9483f1ff29c40af3b0cfe3a42862eb40-med.jpg,143-07142,Sold for £40,auctions/188-the-143rd-auction/654573-aberlour-10-year-old/
Aberlour 10 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/6d477311e3e4b266223a2f47d801084d-med.jpg,143-05859,Sold for £40,auctions/188-the-143rd-auction/653264-aberlour-10-year-old/
Aberlour 10 Year Old,https://d3suvtcq00dftb.cloudfront.net/images/6397cfe50a32f23ab6a5ff9b1985a91d-med.jpg,143-05790,Sold for £40,auctions/188-the-143rd-auction/653192-aberlour-10-year-old/
